Name,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Matt Vierling CF,7,28,1,4,1,0,0,2,5,4,14,0,0.143,0.242,0.179,0.421,0
Riley Greene LF,7,26,1,6,1,0,0,1,7,4,5,0,0.231,0.355,0.269,0.624,0
Parker Meadows CF,7,26,3,7,2,0,1,1,12,3,6,3,0.269,0.345,0.462,0.806,0
Jake Rogers C,7,22,3,6,1,0,0,2,7,3,8,0,0.273,0.36,0.318,0.678,0
Trey Sweeney SS,7,22,2,2,0,0,0,2,2,3,12,1,0.091,0.192,0.091,0.283,0
Spencer Torkelson 1B,7,21,2,4,3,0,0,1,7,3,11,0,0.19,0.292,0.333,0.625,0
Wenceel Perez RF,6,20,1,5,1,0,0,1,6,0,7,0,0.25,0.25,0.3,0.55,0
Kerry Carpenter RF,7,19,3,5,0,0,1,4,8,1,7,0,0.263,0.3,0.421,0.721,0
Colt Keith 2B,7,18,3,2,1,0,0,1,3,6,8,0,0.111,0.333,0.167,0.5,0
Andy Ibanez 2B,7,9,0,2,2,0,0,3,4,0,2,0,0.222,0.222,0.444,0.667,0
Justyn-Henry Malloy LF,7,8,1,5,1,0,0,0,6,2,1,0,0.625,0.727,0.75,1.477,0
Zach McKinstry SS,5,7,1,3,2,0,1,1,8,1,0,0,0.429,0.556,1.143,1.698,0
Jace Jung 3B,2,2,0,0,0,0,0,1,0,1,0,0,0,0.333,0,0.333,0
