Name,GP,GS,QS,W,L,SV,HLD,IP,H,ER,HR,BB,K,K9,PS,WAR,WHIP,ERA
Tarik Skubal SP,3,3,2,1,1,0,0,19,13,5,1,2,20,9.5,88,0,0.79,2.37
Reese Olson SP,2,1,0,0,0,0,0,9,8,2,1,2,8,8,74,0,1.11,2
Will Vest RP,6,0,0,1,0,1,2,6,3,1,0,0,9,13.5,0,0,0.5,1.5
Beau Brieske RP,6,0,0,0,1,2,1,6,1,1,1,2,6,9,0,0,0.5,1.5
Tyler Holton RP,6,2,0,0,1,1,1,5.2,6,6,1,1,6,9.5,19,0,1.24,9.53
Brant Hurter RP,2,0,0,1,0,0,0,5,7,0,0,2,1,1.8,0,0,1.8,0
Keider Montero SP,2,1,0,0,0,0,0,3,1,0,0,0,3,9,6,0,0.33,0
Sean Guenther RP,4,0,0,1,0,0,2,3,2,1,0,1,0,0,0,0,1,3
Jackson Jobe SP,2,0,0,0,0,0,0,1.2,5,3,0,0,0,0,0,0,3,16.2
Brenan Hanifee RP,1,0,0,0,0,0,0,1.2,1,0,0,1,2,10.8,0,0,1.2,0
Ty Madden SP,1,0,0,0,0,0,0,0.2,1,2,0,3,1,13.5,0,0,6,27
Jason Foley RP,1,0,0,0,0,0,1,0.1,3,1,0,0,0,0,0,0,9,27
