Name,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Matt Vierling CF,144,518,80,133,28,5,16,57,219,41,121,6,0.257,0.312,0.423,0.735,2.9
Colt Keith 2B,148,516,54,134,15,4,13,61,196,36,110,7,0.26,0.309,0.38,0.689,1.1
Riley Greene LF,137,512,82,134,27,6,24,74,245,64,156,4,0.262,0.348,0.479,0.827,5.4
Wenceel Perez RF,112,389,51,94,16,6,9,37,149,32,92,9,0.242,0.3,0.383,0.683,0.7
Spencer Torkelson 1B,92,342,45,75,21,1,10,37,128,33,105,0,0.219,0.295,0.374,0.669,0.3
Mark Canha LF,93,320,42,74,17,0,7,38,112,42,79,4,0.231,0.337,0.35,0.687,0.6
Jake Rogers C,102,310,43,61,16,1,10,36,109,22,99,1,0.197,0.255,0.352,0.607,1
Gio Urshela 3B,92,300,25,73,10,1,5,37,100,19,49,0,0.243,0.286,0.333,0.619,-0.3
Zach McKinstry SS,118,297,32,64,14,5,4,23,100,24,69,16,0.215,0.277,0.337,0.614,0.8
Javier Baez SS,80,272,25,50,12,0,6,37,80,12,69,8,0.184,0.221,0.294,0.516,-1.1
Parker Meadows CF,82,270,39,66,12,6,9,28,117,25,76,9,0.244,0.31,0.433,0.743,2.2
Kerry Carpenter RF,87,264,37,75,16,5,18,57,155,22,75,0,0.284,0.345,0.587,0.932,2.2
Andy Ibanez 2B,99,224,30,54,9,1,5,32,80,15,63,2,0.241,0.295,0.357,0.652,1.4
Justyn-Henry Malloy LF,71,202,18,41,7,1,8,21,74,23,85,1,0.203,0.291,0.366,0.658,-0.4
Carson Kelly C,60,179,21,43,4,1,7,29,70,17,40,0,0.24,0.325,0.391,0.716,0.7
Trey Sweeney SS,36,110,11,24,5,0,4,17,41,7,32,2,0.218,0.269,0.373,0.642,0.8
Dillon Dingler C,27,84,2,14,5,2,1,11,26,3,30,0,0.167,0.195,0.31,0.505,-0.3
Jace Jung 3B,34,79,14,19,5,0,0,3,24,15,29,0,0.241,0.362,0.304,0.665,-0.4
Akil Baddoo LF,31,73,7,10,2,2,2,5,22,8,27,1,0.137,0.22,0.301,0.521,-0.5
Bligh Madris 1B,21,67,8,18,3,0,1,5,24,6,20,0,0.269,0.324,0.358,0.683,0.1
Ryan Kreidler SS,35,59,9,7,0,0,1,2,10,6,19,5,0.119,0.2,0.169,0.369,-0.5
Ryan Vilade LF,17,45,5,8,0,0,1,5,11,2,12,0,0.178,0.208,0.244,0.453,-0.7
Buddy Kennedy 2B,6,10,2,2,0,0,1,4,5,2,4,1,0.2,0.308,0.5,0.808,0.2
