Name,GP,GS,QS,W,L,SV,HLD,IP,H,ER,HR,BB,K,K9,PS,WAR,WHIP,ERA
Tarik Skubal SP,31,31,22,18,4,0,0,192,142,51,15,35,228,10.7,92.5,6.3,0.92,2.39
Kenta Maeda SP,29,17,2,3,7,0,1,112.1,124,76,22,31,96,7.7,74.8,-1.7,1.38,6.09
Reese Olson SP,22,22,9,4,8,0,0,112.1,100,44,7,33,101,8.1,84.2,1.2,1.18,3.53
Jack Flaherty SP *,18,18,11,7,5,0,0,106.2,83,35,15,19,133,11.2,93.3,2.4,0.96,2.95
Casey Mize SP,22,20,6,2,6,0,0,102.1,121,51,11,29,78,6.9,85.6,0.1,1.47,4.49
Keider Montero SP,19,16,4,6,6,0,0,98.1,100,52,19,31,77,7,81.7,0.1,1.33,4.76
Tyler Holton RP,66,9,0,7,2,8,15,94.1,57,23,7,17,77,7.3,28.2,3.1,0.78,2.19
Will Vest RP,69,0,0,3,4,2,14,70.1,61,22,3,18,63,8.1,0,1.5,1.12,2.82
Beau Brieske RP,46,12,0,4,5,1,6,67.2,55,27,5,30,69,9.2,29.5,0.7,1.26,3.59
Jason Foley RP,69,0,0,3,6,28,8,60,51,21,5,20,46,6.9,0,0.8,1.18,3.15
Alex Faedo RP,37,6,0,5,3,0,8,57.1,49,23,9,28,55,8.6,31.7,0.6,1.34,3.61
Shelby Miller RP,51,0,0,6,8,2,5,55.2,41,28,9,13,49,7.9,0,0,0.97,4.53
Joey Wentz RP *,38,0,0,0,2,1,2,55.1,60,33,8,27,60,9.8,0,-0.4,1.57,5.37
Brant Hurter RP,10,1,0,6,1,0,1,45.1,34,13,4,6,38,7.5,80,1.3,0.88,2.58
Andrew Chafin RP *,41,0,0,3,2,1,8,37,35,13,2,16,50,12.2,0,0.5,1.38,3.16
Brenan Hanifee RP,21,3,0,1,1,0,8,29.1,27,6,2,6,23,7.1,19.3,0.9,1.13,1.84
Matt Manning SP,5,5,0,0,1,0,0,27.2,31,15,3,12,23,7.5,87.6,0.1,1.55,4.88
Bryan Sammons RP,6,0,0,1,1,0,0,27.1,16,11,6,9,18,5.9,0,0.5,0.91,3.62
Ty Madden SP,6,1,0,1,1,0,0,23,25,11,2,8,17,6.7,87,-0.1,1.43,4.3
Mason Englert RP,12,1,0,1,0,0,0,21.2,23,13,4,5,16,6.6,33,-0.3,1.29,5.4
Sean Guenther RP,17,0,0,3,0,0,2,21,9,2,0,2,12,5.1,0,1,0.52,0.86
Alex Lange RP,21,0,0,0,3,2,1,18.2,16,9,0,17,21,10.1,0,-0.6,1.77,4.34
Jackson Jobe SP,2,0,0,0,0,0,0,4,1,0,0,1,2,4.5,0,0.1,0.5,0
Easton Lucas RP *,3,0,0,1,0,0,0,3.1,3,2,0,2,2,5.4,0,0,1.5,5.4
Ricky Vanasco RP *,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0.1,0,0
Zach McKinstry SS,3,0,0,0,0,0,0,2,1,2,1,1,0,0,0,-0.1,1,9
